step,agent_id,x,y,toxicload
1,5,577.0,310.0,0.0
1,35,573.0,566.0,0.0
1,30,288.0,404.0,0.0
1,32,313.0,709.0,0.0
1,6,291.0,636.0,0.0
1,45,343.0,397.0,0.0
1,4,539.0,347.0,0.0
1,13,668.0,398.0,0.0
1,12,248.0,296.0,0.0
1,28,404.0,650.0,0.0
1,23,544.0,314.0,0.0
1,41,297.0,634.0,0.0
1,43,590.0,283.0,0.0
1,11,516.0,365.0,0.0
1,36,526.0,539.0,0.0
1,39,419.0,719.0,0.0
1,7,516.0,338.0,0.0
1,25,260.0,493.0,0.0
1,34,401.0,254.0,0.0
1,50,261.0,416.0,0.0
1,2,430.0,434.0,0.0
1,10,290.0,342.0,0.0
1,18,309.0,303.0,0.0
1,26,368.0,283.0,0.0
1,27,285.0,258.0,0.0
1,42,228.0,614.0,0.0
1,16,440.0,642.0,0.0
1,20,302.0,594.0,0.0
1,19,233.0,525.0,0.0
1,49,413.0,354.0,0.0
1,44,357.0,410.0,0.0
1,9,659.0,718.0,0.0
1,31,352.0,299.0,0.0
1,29,465.0,417.0,0.0
1,46,544.0,437.0,0.0
1,21,556.0,584.0,0.0
1,38,648.0,666.0,0.0
1,24,237.0,589.0,0.0
1,8,476.0,473.0,0.0
1,17,493.0,475.0,0.0
1,37,499.0,605.0,0.0
1,1,231.0,506.0,0.0
1,22,253.0,667.0,0.0
1,47,489.0,552.0,0.0
1,14,285.0,490.0,0.0
1,3,474.0,290.0,0.0
1,33,540.0,364.0,0.0
1,40,626.0,247.0,0.0
1,48,642.0,326.0,0.0
1,15,664.0,309.0,0.0
2,5,576.7237900905543,310.27620990944575,0.0
2,35,573.2762099094457,566.2762099094457,0.0
2,30,287.72379009055425,403.72379009055425,0.0
2,32,313.27620990944575,708.7237900905543,0.0
2,6,290.72379009055425,635.7237900905543,0.0
2,45,343.27620990944575,396.72379009055425,0.0
2,4,539.2762099094457,347.27620990944575,0.0
2,13,668.0,397.6093802,0.0
2,12,248.3906198,296.0,0.0
2,28,404.27620990944575,650.2762099094457,0.0
2,23,543.6093802,314.0,0.0
2,41,296.6093802,634.0,0.0
